transport,housing,shops,night_life,sports,office
45,50,50,50,47,49
45,50,50,50,46,48
42,50,50,50,44,44
44,50,50,50,44,42
47,50,50,49,44,42
45,50,50,49,45,39
50,48,49,50,46,46
44,44,50,50,47,44
40,50,50,48,45,46
49,46,50,47,44,41
49,47,50,48,44,36
48,8,50,43,44,39
49,16,50,47,47,45
45,44,50,50,43,36
45,13,50,45,43,43
47,50,50,49,45,43
47,49,50,50,44,42
44,17,50,45,43,36
42,13,50,38,32,37
49,27,50,36,39,40
41,7,50,38,38,25
31,16,40,19,47,12
45,48,50,50,49,47
37,42,50,39,45,35
45,50,50,50,44,36
47,49,50,48,44,41
47,50,50,50,47,50
48,23,50,45,44,39
46,48,50,50,48,46
44,45,50,50,47,43
