Borough,Neighborhood,Latitude,Longitude,zip,accident_count,Park,Library,Pool,Playground,Cinemas
Queens,Astoria,40.76850859335492,-73.91565374304234,11103,130,13,,,,
Queens,Woodside,40.74634908860222,-73.90184166838284,11377,394,19,,,,
Queens,Jackson Heights,40.75198138007367,-73.88282109164365,11372,370,11,,,,
Queens,Elmhurst,40.744048505122024,-73.88165622288388,11373,387,9,,,,
Queens,Kew Gardens,40.7051790354148,-73.82981905825703,11415,81,9,,,,
Queens,Richmond Hill,40.69794731471763,-73.83183321446887,11418,199,8,,,,
Queens,East Elmhurst,40.76407323883091,-73.86704147658772,11369,219,11,,,,
Queens,Maspeth,40.725427374093606,-73.89621713626859,11378,257,2,,,,
Queens,Rego Park,40.72897409480735,-73.8578268690537,11374,198,5,,,,
Queens,Woodhaven,40.68988687915789,-73.8581104655432,11421,178,4,,,,
Queens,Ozone Park,40.680708468265415,-73.84320266173447,11417,204,2,,,,
Queens,South Ozone Park,40.66854957767195,-73.80986478649041,11420,307,5,,,,
Queens,College Point,40.784902749260205,-73.84304528896125,11356,150,3,,,,
Queens,Auburndale,40.76172954903262,-73.79176243728061,11358,210,3,,,,
Queens,Bellerose,40.72857318176675,-73.72012814826903,11426,82,9,,,,
Queens,Kew Gardens Hills,40.722578244228046,-73.82087764933566,11367,211,8,,,,
Queens,Briarwood,40.71093547252271,-73.81174822458634,11435,309,,,,,
Queens,Queens Village,40.718893092167356,-73.73871484578424,11428,103,,,,,
Queens,St. Albans,40.69444538522359,-73.75867603727717,11412,185,,,,,
Queens,Rochdale,40.67521139591733,-73.77258787620906,11434,475,,,,,
Queens,Cambria Heights,40.692774639160845,-73.73526873708026,11411,126,,,,,
Queens,Broad Channel,40.60302658351238,-73.8200548911032,11693,55,,,,,
Queens,Steinway,40.775923015642896,-73.90228960391673,11105,121,,,,,
Queens,Bay Terrace,40.782842806245554,-73.7768022262158,11360,55,,,,,
Queens,Queensboro Hill,40.7445723092867,-73.82580915110559,11355,352,,,,,
Queens,Hillcrest,40.723824901829204,-73.79760300912672,11366,111,,,,,
Queens,Ravenswood,40.761704526054146,-73.93157506072878,11106,164,,,,,
Queens,Bellaire,40.73301404027834,-73.73889198912481,11427,126,,,,,
Queens,Astoria Heights,40.7703173929982,-73.89467996270574,11370,146,,,,,
Queens,Middle Village,40.716414511158185,-73.88114319200604,11379,169,,,,,
,,,,,,11,,,,
,,,,,,6,,,,
,,,,,,7,,,,
,,,,,,12,,,,
,,,,,,5,,,,
,,,,,,3,,,,
,,,,,,2,,,,
,,,,,,4,,,,
,,,,,,2,,,,
,,,,,,4,,,,
,,,,,,8,,,,
,,,,,,2,,,,
,,,,,,8,,,,
,,,,,,1,,,,
